Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
2000,1033052006,6923552006,5890500000,807.2
Cast Away,143632142,233632142,90000000,7.8
Scary Movie,138019771,157019771,19000000,6.2
How the Grinch Stole Christmas,137044825,260044825,123000000,6.2
What Women Want,112811707,182811707,70000000,6.4
Meet the Parents,111244045,166244045,55000000,7
Mission: Impossible II,90409889,215409889,125000000,6.1
Big Momma's House,87559438,117559438,30000000,5.2
Remember the Titans,85654751,115654751,30000000,7.8
Gladiator,84705427,187705427,103000000,8.5
X-Men,82299718,157299718,75000000,7.4
Traffic,76115725,124115725,48000000,7.6
Erin Brockovich,73595205,125595205,52000000,7.3
Chicken Run,61834564,106834564,45000000,7
Miss Congeniality,61807667,106807667,45000000,6.2
Bring It On,57379000,68379000,11000000,6
What Lies Beneath,55464351,155464351,100000000,6.6
Road Trip,52540777,68540777,16000000,6.4
Scream 3,49143175,89143175,40000000,5.6
Snow Day,47020107,60020107,13000000,5.1
Chocolat,46509363,71509363,25000000,7.2
Rugrats in Paris: The Movie - Rugrats II,46507756,76507756,30000000,6.1
Next Friday,46328603,57328603,11000000,6.2
The Perfect Storm,42618434,182618434,140000000,6.4
"Me, Myself & Irene",39570999,90570999,51000000,6.6
Nutty Professor II: The Klumps,39309890,123309890,84000000,4.4
"Dude, Where's My Car?",33729800,46729800,13000000,5.5
Charlie's Angels,32305545,125305545,93000000,5.5
Romeo Must Die,30973336,55973336,25000000,6.1
Final Destination,30331147,53331147,23000000,6.7
The Cell,28334059,61334059,33000000,6.3
My Dog Skip,28134641,34134641,6000000,7
Space Cowboys,25464773,90464773,65000000,6.4
Shaft,24334258,70334258,46000000,5.9
Unbreakable,20011339,95011339,75000000,7.3
"O Brother, Where Art Thou?",19512588,45512588,26000000,7.7
Where the Heart Is,18772838,33772838,15000000,6.8
Men of Honor,16818921,48818921,32000000,7.2
Memento,16544867,25544867,9000000,8.4
Pitch Black,16240659,39240659,23000000,7.1
The Whole Nine Yards,15962492,57262492,41300000,6.7
The Family Man,15793305,75793305,60000000,6.8
Coyote Ugly,15786269,60786269,45000000,5.7
The Tigger Movie,15554533,45554533,30000000,6.3
U-571,15122415,77122415,62000000,6.6
Frequency,14010278,45010278,31000000,7.3
Gone in Sixty Seconds,11648571,101648571,90000000,6.5
Book of Shadows: Blair Witch 2,11437094,26437094,15000000,3.9
