ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
0,8358,90000000,50.864,2000-12-22,429632142,143,7.656,10100,tt0162222
1,4247,19000000,134.378,2000-07-07,278019771,88,6.324,6062,tt0175142
2,8871,123000000,62.037,2000-11-15,345823040,104,6.746,6479,tt0170016
3,3981,70000000,31.618,2000-12-15,374111707,127,6.422,3463,tt0207201
4,1597,55000000,26.05,2000-10-06,330444045,108,6.669,5306,tt0212338
5,955,125000000,44.754,2000-05-24,546388105,123,6.115,5688,tt0120755
6,9600,30000000,26.24,2000-05-31,173959438,98,5.8,2031,tt0208003
7,10637,30000000,38.991,2000-09-29,136706683,113,7.612,2291,tt0210945
8,98,103000000,76.795,2000-05-04,465361176,155,8.205,16232,tt0172495
9,246655,178000000,83.917,2016-05-18,543934787,144,6.516,11870,tt3385516
10,1900,48000000,24.8,2000-03-23,207515725,147,7.065,1812,tt0181865
11,462,52000000,25.892,2000-03-17,256271286,131,7.418,2707,tt0195685
12,7443,45000000,54.859,2000-06-23,224834564,84,6.7,4306,tt0120630
13,1493,45000000,27.607,2000-12-22,212000000,111,6.5,3408,tt0212346
14,1588,28000000,17.609,2000-08-25,90449929,98,6.229,1496,tt0204946
15,2655,100000000,21.347,2000-07-21,291420351,130,6.409,1576,tt0161081
16,9285,16000000,27.546,2000-05-19,119754278,93,6.156,1653,tt0215129
17,4234,40000000,133.498,2000-02-03,161834276,116,6.0,2871,tt0134084
18,1032412,0,173.0,2022-12-16,0,77,6.8,14,tt23622516
19,392,25000000,17.531,2000-12-22,152500343,121,6.959,2968,tt0241303
20,16340,30000000,20.817,2000-11-17,103291131,78,6.6,410,tt0213203
21,10471,11000000,16.307,2000-01-12,59827328,98,6.462,479,tt0195945
22,2133,120000000,29.491,2000-06-29,325756637,130,6.416,1923,tt0177971
23,2123,51000000,37.283,2000-06-22,149270999,116,6.585,3344,tt0183505
24,12107,84000000,19.351,2000-07-27,123307945,106,4.982,1139,tt0144528
25,8859,13000000,22.244,2000-12-15,73180723,83,5.526,1600,tt0242423
26,458897,48000000,35.537,2019-11-14,73279888,118,6.521,2632,tt5033998
27,2085,25000000,25.283,2000-03-22,91036760,115,6.204,1005,tt0165929
28,9532,23000000,68.455,2000-03-17,112880294,98,6.57,4809,tt0195714
29,8843,33000000,22.082,2000-08-17,104155843,107,6.254,1331,tt0209958
30,17908,6000000,11.211,2000-01-12,35547761,95,6.773,249,tt0156812
31,5551,65000000,18.928,2000-08-04,128884132,130,6.4,1183,tt0186566
32,486131,30000000,23.698,2019-06-14,21360215,111,6.552,1506,tt4463894
33,9741,75000000,31.473,2000-11-22,248118121,106,7.136,8284,tt0217869
34,134,26000000,25.676,2000-08-30,71870729,107,7.325,3599,tt0190590
35,10564,15000000,15.383,2000-04-27,33771174,120,7.127,612,tt0198021
36,11978,32000000,76.12,2000-09-13,82343495,129,7.445,1952,tt0203019
37,77,9000000,37.376,2000-10-11,39723096,113,8.19,13146,tt0209144
38,2787,23000000,20.986,2000-02-18,53187659,108,6.831,3906,tt0134847
39,2069,41300000,22.14,2000-02-18,106371651,98,6.447,1604,tt0190138
40,5994,60000000,19.23,2000-12-12,124700000,125,6.759,1667,tt0218967
41,6282,45000000,26.706,2000-07-30,113916474,100,6.24,1820,tt0200550
