,IMDB_ID,original_title,year,date_published,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,language_2,language_3,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,Budget - Inflation Adjusted, budget , USA Gross Income - Inflation Adjusted , usa_gross_income , WW Gross Income - Inflation Adjusted , worlwide_gross_income ,reviews_from_users,Unnamed: 0,Revenue,Release Date,Runtime,Original Title,ID.1,Popularity,Vote Average,Budget,Genre List,Vote Count
0,tt0118589,Glitter,2001,30/11/2001,Drama, Music, Romance,104,USA,English,,,Vondie Curtis-Hall,"Cheryl L. West, Kate Lanier","Mariah Carey, Max Beesley, Da Brat, Tia Texada, Valarie Pettiford, Ann Magnuson, Terrence Howard, Dorian Harewood, Grant Nickalls, Eric Benét, Padma Lakshmi, Don Ackerman, Ed Sahely, Carmen Wong, James Allodi",Mariah Carey,"Mariah Carey, Max Beesley","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",A young singer dates a disc jockey,2.2,21298,"$32,150,434.78 ","$22,000,000.00 ","$6,246,547.43 ","$4,274,407.00 ","$7,703,925.18 ","$5,271,666.00 ",319.0,306,5271666,9/21/01,104,Glitter,10696,7.898,4.6,22000000,"[['Drama', 'Music', 'Romance']]",122
1,tt0120630,Chicken Run,2000,15/12/2000,Animation, Adventure, Comedy,84,"UK, USA, France",English,,,"Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow",Phil Daniels,"Phil Daniels, Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",When a cockerel apparently flies,7.0,173987,"$67,633,536.59 ","$45,000,000.00 ","$160,568,875.40 ","$106,834,564.00 ","$337,919,038.00 ","$224,834,564.00 ",393.0,19,224834564,6/23/00,84,Chicken Run,7443,54.859,6.7,45000000,"[['Animation', 'Comedy', 'Family']]",4306
2,tt0120679,Frida,2002,17/01/2003,Biography, Drama, Romance,123,"Mexico, USA, Canada",English,French,Russian,Julie Taymor,"Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas",Salma Hayek,"Salma Hayek, Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,"$17,263,657.59 ","$12,000,000.00 ","$37,239,148.05 ","$25,885,000.00 ","$80,993,131.49 ","$56,298,474.00 ",297.0,400,56298474,8/29/02,123,Frida,1360,19.246,7.432,12000000,"[['Drama', 'Romance']]",1844
3,tt0120681,From Hell,2001,21/12/2001,Horror, Mystery, Thriller,122,"USA, Czech Republic, UK",English,,,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page",Johnny Depp,"Johnny Depp, Heather Graham","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.","In Victorian-era London, a troubled",6.8,144714,"$51,148,418.97 ","$35,000,000.00 ","$46,183,465.32 ","$31,602,566.00 ","$108,957,991.54 ","$74,558,115.00 ",556.0,270,74558115,2/8/01,122,From Hell,768,29.048,6.688,35000000,"[['Horror', 'Mystery', 'Thriller']]",2465
4,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,18/01/2002,Action, Adventure, Drama,178,"New Zealand, USA",English,Sindarin,,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare",Alan Howard,"Alan Howard, Noel Appleby",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,A meek Hobbit from the Shire and,8.8,1619920,"$135,908,656.13 ","$93,000,000.00 ","$461,131,859.36 ","$315,544,750.00 ","$1,297,612,449.99 ","$887,934,303.00 ",5392.0,183,871368364,12/18/01,179,The Lord of the Rings: The Fellowship of the Ring,120,111.946,8.395,93000000,"[['Adventure', 'Fantasy', 'Action']]",22408
5,tt0120753,The Million Dollar Hotel,2000,31/03/2000,Drama, Mystery, Thriller,122,"Germany, UK, USA",English,,,Wim Wenders,"Nicholas Klein, Bono","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Amanda Plummer, Gloria Stuart, Tom Bower, Donal Logue, Bud Cort, Julian Sands, Conrad Roberts, Harris Yulin, Charlayne Woodard, Ellen Cleghorne",Jeremy Davies,"Jeremy Davies, Milla Jovovich","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.","Tragi-comic, romantic whodunnit",5.9,20570,"$12,023,739.84 ","$8,000,000.00 ","$90,161.52 ","$59,989.00 ","$159,289.00 ","$105,983.00 ",184.0,135,105983,2/9/00,122,The Million Dollar Hotel,318,13.974,5.91,8000000,"[['Drama', 'Thriller']]",273
6,tt0120755,Mission: Impossible II,2000,7/7/00,Action, Adventure, Thriller,123,"USA, Germany",English,,,John Woo,"Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming",Tom Cruise,"Tom Cruise, Dougray Scott","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",IMF agent Ethan Hunt is sent to,6.1,308586,"$187,870,934.96 ","$125,000,000.00 ","$323,754,057.97 ","$215,409,889.00 ","$821,203,557.61 ","$546,388,108.00 ",1501.0,5,546388105,5/24/00,123,Mission: Impossible II,955,44.754,6.115,125000000,"[['Adventure', 'Action', 'Thriller']]",5688
7,tt0120804,Resident Evil,2002,5/7/02,Action, Horror, Sci-Fi,100,"UK, Germany, USA",English,,,Paul W.S. Anderson,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi",Ryan McCluskey,"Ryan McCluskey, Oscar Pearce","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",A special military unit fights,6.7,243241,"$47,475,058.37 ","$33,000,000.00 ","$57,717,743.22 ","$40,119,709.00 ","$148,157,949.52 ","$102,984,862.00 ",1178.0,408,102984862,3/15/02,100,Resident Evil,1576,26.719,6.602,33000000,"[['Horror', 'Action', 'Science Fiction']]",5574
8,tt0120824,The Shipping News,2001,15/02/2002,Drama,,,111,"Canada, USA",English,,,Lasse Hallström,"Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett, Pete Postlethwaite, Scott Glenn, Rhys Ifans, Gordon Pinsent, Jason Behr, Larry Pine, Jeannetta Arnette, Robert Joy, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer",Kevin Spacey,"Kevin Spacey, Julianne Moore",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,An emotionally beaten man with,6.7,31614,"$55,532,569.17 ","$38,000,000.00 ","$16,709,773.45 ","$11,434,216.00 ","$36,082,200.60 ","$24,690,441.00 ",210.0,317,24690441,12/18/01,111,The Shipping News,6440,12.649,6.337,38000000,"[['Drama', 'Romance']]",325
9,tt0120912,Men in Black II,2002,13/09/2002,Action, Adventure, Comedy,88,USA,English,,,Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito",Tommy Lee Jones,"Tommy Lee Jones, Will Smith",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,Agent J is sent to find Agent,6.2,337088,"$201,409,338.52 ","$140,000,000.00 ","$278,714,972.89 ","$193,735,288.00 ","$640,388,599.35 ","$445,135,288.00 ",650.0,358,445135288,7/3/02,88,Men in Black II,608,40.836,6.355,140000000,"[['Action', 'Adventure', 'Comedy', 'Science Fiction']]",8884
