,Revenue,Release Date,Runtime,Original Title,IMDB,ID.1,Popularity,Vote Average,Budget,Genre List,Vote Count
0,429632142,2000-12-22,143,Cast Away,tt0162222,8358,50.864,7.656,90000000,"[['Adventure', 'Drama']]",10100
1,278019771,2000-07-07,88,Scary Movie,tt0175142,4247,134.378,6.324,19000000,[['Comedy']],6062
2,345823040,2000-11-15,104,How the Grinch Stole Christmas,tt0170016,8871,62.037,6.746,123000000,"[['Family', 'Comedy', 'Fantasy']]",6479
3,374111707,2000-12-15,127,What Women Want,tt0207201,3981,31.618,6.422,70000000,"[['Comedy', 'Romance']]",3463
4,330444045,2000-10-06,108,Meet the Parents,tt0212338,1597,26.05,6.669,55000000,"[['Comedy', 'Romance']]",5306
5,546388105,2000-05-24,123,Mission: Impossible II,tt0120755,955,44.754,6.115,125000000,"[['Adventure', 'Action', 'Thriller']]",5688
6,173959438,2000-05-31,98,Big Momma's House,tt0208003,9600,26.24,5.8,30000000,"[['Crime', 'Comedy']]",2031
7,136706683,2000-09-29,113,Remember the Titans,tt0210945,10637,38.991,7.612,30000000,[['Drama']],2291
8,465361176,2000-05-04,155,Gladiator,tt0172495,98,76.795,8.205,103000000,"[['Action', 'Drama', 'Adventure']]",16232
9,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
10,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
11,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
12,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
13,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
14,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
15,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
16,543934787,2016-05-18,144,X-Men: Apocalypse,tt3385516,246655,83.917,6.516,178000000,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",11870
17,207515725,2000-03-23,147,Traffic,tt0181865,1900,24.8,7.065,48000000,"[['Thriller', 'Drama', 'Crime']]",1812
18,256271286,2000-03-17,131,Erin Brockovich,tt0195685,462,25.892,7.418,52000000,[['Drama']],2707
19,224834564,2000-06-23,84,Chicken Run,tt0120630,7443,54.859,6.7,45000000,"[['Animation', 'Comedy', 'Family']]",4306
20,212000000,2000-12-22,111,Miss Congeniality,tt0212346,1493,27.607,6.5,45000000,"[['Comedy', 'Crime', 'Action']]",3408
21,90449929,2000-08-25,98,Bring It On,tt0204946,1588,17.609,6.229,28000000,[['Comedy']],1496
22,291420351,2000-07-21,130,What Lies Beneath,tt0161081,2655,21.347,6.409,100000000,"[['Drama', 'Horror', 'Mystery', 'Thriller']]",1576
23,119754278,2000-05-19,93,Road Trip,tt0215129,9285,27.546,6.156,16000000,"[['Comedy', 'Adventure']]",1653
24,161834276,2000-02-03,116,Scream 3,tt0134084,4234,133.498,6.0,40000000,"[['Horror', 'Mystery']]",2871
25,0,2022-12-16,77,Snow Day,tt23622516,1032412,173.0,6.8,0,"[['TV Movie', 'Family', 'Comedy', 'Music']]",14
26,152500343,2000-12-22,121,Chocolat,tt0241303,392,17.531,6.959,25000000,"[['Comedy', 'Drama', 'Romance']]",2968
27,103291131,2000-11-17,78,Rugrats in Paris: The Movie,tt0213203,16340,20.817,6.6,30000000,"[['Family', 'Animation', 'Adventure', 'Comedy']]",410
28,59827328,2000-01-12,98,Next Friday,tt0195945,10471,16.307,6.462,11000000,[['Comedy']],479
29,325756637,2000-06-29,130,The Perfect Storm,tt0177971,2133,29.491,6.416,120000000,"[['Action', 'Adventure', 'Drama', 'Thriller']]",1923
30,149270999,2000-06-22,116,"Me, Myself & Irene",tt0183505,2123,37.283,6.585,51000000,[['Comedy']],3344
31,123307945,2000-07-27,106,Nutty Professor II: The Klumps,tt0144528,12107,19.351,4.982,84000000,"[['Fantasy', 'Comedy', 'Romance', 'Science Fiction']]",1139
32,73180723,2000-12-15,83,"Dude, Where's My Car?",tt0242423,8859,22.244,5.526,13000000,"[['Comedy', 'Science Fiction']]",1600
33,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
34,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
35,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
36,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
37,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
38,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
39,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
40,73279888,2019-11-14,118,Charlie's Angels,tt5033998,458897,35.537,6.521,48000000,"[['Action', 'Adventure', 'Comedy']]",2632
41,91036760,2000-03-22,115,Romeo Must Die,tt0165929,2085,25.283,6.204,25000000,"[['Action', 'Crime', 'Thriller']]",1005
42,112880294,2000-03-17,98,Final Destination,tt0195714,9532,68.455,6.57,23000000,[['Horror']],4809
43,104155843,2000-08-17,107,The Cell,tt0209958,8843,22.082,6.254,33000000,"[['Horror', 'Science Fiction', 'Thriller']]",1331
44,35547761,2000-01-12,95,My Dog Skip,tt0156812,17908,11.211,6.773,6000000,"[['Comedy', 'Drama', 'Family']]",249
45,128884132,2000-08-04,130,Space Cowboys,tt0186566,5551,18.928,6.4,65000000,"[['Action', 'Adventure', 'Thriller']]",1183
46,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
47,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
48,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
49,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
50,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
51,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
52,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
53,21360215,2019-06-14,111,Shaft,tt4463894,486131,23.698,6.552,30000000,"[['Action', 'Crime']]",1506
54,248118121,2000-11-22,106,Unbreakable,tt0217869,9741,31.473,7.136,75000000,"[['Thriller', 'Drama', 'Mystery']]",8284
55,71870729,2000-08-30,107,"O Brother, Where Art Thou?",tt0190590,134,25.676,7.325,26000000,"[['Adventure', 'Comedy', 'Crime']]",3599
