ID,ID,Genre List
0,8358,"[['Adventure', 'Drama']]"
1,4247,[['Comedy']]
2,8871,"[['Family', 'Comedy', 'Fantasy']]"
3,3981,"[['Comedy', 'Romance']]"
4,1597,"[['Comedy', 'Romance']]"
5,955,"[['Adventure', 'Action', 'Thriller']]"
6,9600,"[['Crime', 'Comedy']]"
7,10637,[['Drama']]
8,98,"[['Action', 'Drama', 'Adventure']]"
9,246655,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]"
10,1900,"[['Thriller', 'Drama', 'Crime']]"
11,462,[['Drama']]
12,7443,"[['Animation', 'Comedy', 'Family']]"
13,1493,"[['Comedy', 'Crime', 'Action']]"
14,1588,[['Comedy']]
15,2655,"[['Drama', 'Horror', 'Mystery', 'Thriller']]"
16,9285,"[['Comedy', 'Adventure']]"
17,4234,"[['Horror', 'Mystery']]"
18,1032412,"[['TV Movie', 'Family', 'Comedy', 'Music']]"
19,392,"[['Comedy', 'Drama', 'Romance']]"
20,16340,"[['Family', 'Animation', 'Adventure', 'Comedy']]"
21,10471,[['Comedy']]
22,2133,"[['Action', 'Adventure', 'Drama', 'Thriller']]"
23,2123,[['Comedy']]
24,12107,"[['Fantasy', 'Comedy', 'Romance', 'Science Fiction']]"
25,8859,"[['Comedy', 'Science Fiction']]"
26,458897,"[['Action', 'Adventure', 'Comedy']]"
27,2085,"[['Action', 'Crime', 'Thriller']]"
28,9532,[['Horror']]
29,8843,"[['Horror', 'Science Fiction', 'Thriller']]"
30,17908,"[['Comedy', 'Drama', 'Family']]"
31,5551,"[['Action', 'Adventure', 'Thriller']]"
32,486131,"[['Action', 'Crime']]"
33,9741,"[['Thriller', 'Drama', 'Mystery']]"
34,134,"[['Adventure', 'Comedy', 'Crime']]"
35,10564,"[['Comedy', 'Drama', 'Romance']]"
36,11978,[['Drama']]
37,77,"[['Mystery', 'Thriller']]"
38,2787,"[['Thriller', 'Science Fiction', 'Action']]"
39,2069,"[['Comedy', 'Crime']]"
40,5994,"[['Comedy', 'Drama', 'Romance', 'Fantasy']]"
41,6282,"[['Comedy', 'Drama', 'Music', 'Romance']]"
42,15655,"[['Family', 'Animation', 'Comedy']]"
43,3536,"[['War', 'Drama', 'Action', 'Thriller']]"
44,10559,"[['Science Fiction', 'Thriller']]"
45,9679,"[['Action', 'Crime', 'Thriller']]"
46,11531,"[['Mystery', 'Thriller', 'Horror']]"
47,10567,"[['Family', 'Animation']]"
48,14181,"[['Crime', 'Drama', 'Thriller']]"
49,10472,"[['Comedy', 'Drama', 'Romance']]"
50,711,[['Drama']]
51,2621,"[['Romance', 'Comedy']]"
52,13785,[['Comedy']]
53,14295,[['Drama']]
54,1359,"[['Thriller', 'Drama', 'Crime']]"
55,4967,"[['Comedy', 'Romance']]"
56,12212,"[['Horror', 'Mystery', 'Thriller']]"
57,616037,"[['Fantasy', 'Action', 'Comedy']]"
58,4244,"[['Fantasy', 'Comedy', 'Family']]"
59,2024,"[['Drama', 'History', 'War', 'Action']]"
60,12509,"[['Drama', 'Romance']]"
61,2046,"[['Horror', 'Drama', 'Thriller', 'Mystery']]"
62,8584,"[['Adventure', 'Action', 'Comedy', 'Western']]"
63,10862,"[['Drama', 'Romance']]"
64,10479,"[['War', 'Action', 'Adventure', 'Drama', 'History']]"
65,10873,"[['Drama', 'Horror']]"
66,11478,"[['Crime', 'Drama', 'Thriller']]"
67,641,"[['Crime', 'Drama']]"
68,10685,"[['Mystery', 'Thriller']]"
69,6521,"[['Drama', 'Thriller']]"
70,1619,"[['Action', 'Crime', 'Drama', 'Thriller']]"
71,243,"[['Drama', 'Comedy', 'Romance', 'Music']]"
72,9791,"[['Crime', 'Drama']]"
73,10642,"[['Comedy', 'Romance']]"
74,10393,[['Comedy']]
75,11678,"[['Adventure', 'Action', 'Thriller']]"
76,10468,"[['Comedy', 'Drama']]"
77,10876,[['Drama']]
78,10647,[['Drama']]
79,24664,"[['Comedy', 'Drama']]"
80,10569,"[['Comedy', 'Crime']]"
81,318,"[['Drama', 'Thriller']]"
82,16,"[['Drama', 'Crime']]"
83,14195,"[['Thriller', 'Comedy', 'Crime']]"
84,327,"[['Crime', 'Drama', 'Thriller']]"
85,10480,"[['Comedy', 'Crime', 'Thriller']]"
86,10687,"[['Drama', 'War']]"
87,10763,"[['Comedy', 'Drama', 'Romance']]"
88,1831,"[['Comedy', 'Drama', 'Romance']]"
89,1636,"[['Fantasy', 'Comedy', 'Romance']]"
90,1907,"[['Drama', 'Adventure', 'Romance', 'Thriller']]"
91,28333,[['Comedy']]
92,11688,"[['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']]"
93,20697,"[['Action', 'Comedy']]"
94,10560,"[['Drama', 'Music']]"
95,12211,"[['Action', 'Fantasy']]"
96,10571,"[['Comedy', 'Drama', 'Romance']]"
97,10481,"[['Family', 'Comedy']]"
98,2155,"[['Thriller', 'Action', 'Crime', 'Drama']]"
99,18041,"[['Mystery', 'Thriller']]"
100,10577,"[['Thriller', 'Horror', 'Action', 'Fantasy']]"
101,25166,"[['Comedy', 'Crime', 'Mystery']]"
102,9383,"[['Action', 'Science Fiction', 'Thriller']]"
103,19457,"[['Crime', 'Drama', 'Thriller']]"
104,10385,"[['Drama', 'Comedy']]"
105,10562,"[['Thriller', 'Crime', 'Drama']]"
106,10641,"[['Drama', 'Romance']]"
107,786,"[['Drama', 'Music']]"
108,493529,"[['Action', 'Adventure', 'Fantasy', 'Comedy']]"
109,11398,"[['Crime', 'Action', 'Adventure']]"
110,11983,[['Thriller']]
111,10383,"[['Horror', 'Thriller']]"
112,11004,"[['Comedy', 'Drama']]"
113,10391,"[['Drama', 'Horror', 'Thriller', 'Crime']]"
114,118957,"[['Action', 'Horror', 'Thriller']]"
115,2067,"[['Science Fiction', 'Thriller']]"
116,21355,"[['Drama', 'Romance', 'Western']]"
117,10501,"[['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']]"
118,11973,"[['Drama', 'History', 'Thriller', 'War']]"
119,9678,"[['Comedy', 'Fantasy']]"
120,8452,"[['Science Fiction', 'Action', 'Mystery']]"
121,889,"[['Comedy', 'Family', 'Romance']]"
122,10461,"[['Action', 'Drama', 'Thriller', 'Crime']]"
123,4958,"[['Drama', 'Fantasy']]"
124,17711,"[['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']]"
125,5491,"[['Action', 'Adventure', 'Comedy', 'Science Fiction']]"
126,7450,"[['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']]"
127,8870,"[['Thriller', 'Action', 'Science Fiction']]"
128,642208,"[['Romance', 'Drama']]"
129,120,"[['Adventure', 'Fantasy', 'Action']]"
130,808,"[['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']]"
131,671,"[['Adventure', 'Fantasy']]"
132,585,"[['Animation', 'Comedy', 'Family']]"
133,5175,"[['Action', 'Comedy', 'Crime']]"
134,2770,"[['Comedy', 'Romance']]"
135,453,"[['Drama', 'Romance']]"
136,9799,"[['Action', 'Crime', 'Thriller']]"
137,1734,"[['Adventure', 'Action', 'Fantasy']]"
138,161,"[['Thriller', 'Crime']]"
139,331,"[['Adventure', 'Action', 'Thriller', 'Science Fiction']]"
140,9880,"[['Comedy', 'Family', 'Romance']]"
141,871,"[['Science Fiction', 'Adventure', 'Drama', 'Action']]"
142,1933,"[['Horror', 'Mystery', 'Thriller']]"
143,8835,"[['Comedy', 'Romance']]"
144,9740,"[['Crime', 'Drama', 'Thriller']]"
145,9816,"[['Drama', 'Family', 'Romance', 'Music']]"
146,10054,"[['Action', 'Comedy', 'Family', 'Adventure']]"
147,676,"[['Action', 'War', 'History', 'Romance', 'Drama']]"
148,12589,"[['Family', 'Action', 'Adventure', 'Animation', 'Comedy', 'Science Fiction']]"
149,11467,"[['Comedy', 'Romance']]"
150,634,"[['Comedy', 'Romance', 'Drama']]"
151,10808,"[['Comedy', 'Family', 'Romance', 'Fantasy']]"
152,1999,"[['Drama', 'Thriller']]"
153,1027159,"[['Animation', 'Action', 'Adventure', 'Comedy']]"
154,1903,"[['Mystery', 'Science Fiction', 'Drama', 'Romance', 'Fantasy', 'Thriller']]"
155,2034,"[['Action', 'Crime', 'Drama']]"
156,9428,"[['Comedy', 'Drama']]"
157,9889,"[['Comedy', 'Romance']]"
158,717728,"[['Horror', 'Thriller', 'Mystery']]"
159,1365,"[['Drama', 'Romance']]"
160,4248,[['Comedy']]
161,2018,"[['Comedy', 'Romance']]"
162,11397,[['Comedy']]
163,9778,"[['Comedy', 'Romance', 'Drama']]"
164,5279,"[['Drama', 'Mystery', 'Thriller']]"
165,8007,"[['Action', 'Drama', 'Thriller', 'War']]"
166,10950,[['Drama']]
167,9398,[['Comedy']]
168,855,"[['Action', 'History', 'War']]"
169,1995,"[['Adventure', 'Fantasy', 'Action', 'Thriller']]"
170,39939,"[['Comedy', 'Crime', 'Mystery']]"
171,16300,"[['Fantasy', 'Comedy', 'Science Fiction', 'Romance']]"
