ID,Original Title
8358,Cast Away
4247,Scary Movie
8871,How the Grinch Stole Christmas
3981,What Women Want
1597,Meet the Parents
955,Mission: Impossible II
9600,Big Momma's House
10637,Remember the Titans
98,Gladiator
246655,X-Men: Apocalypse
1900,Traffic
462,Erin Brockovich
7443,Chicken Run
1493,Miss Congeniality
1588,Bring It On
2655,What Lies Beneath
9285,Road Trip
4234,Scream 3
1032412,Snow Day
392,Chocolat
16340,Rugrats in Paris: The Movie
10471,Next Friday
2133,The Perfect Storm
2123,"Me, Myself & Irene"
12107,Nutty Professor II: The Klumps
8859,"Dude, Where's My Car?"
458897,Charlie's Angels
2085,Romeo Must Die
9532,Final Destination
8843,The Cell
17908,My Dog Skip
5551,Space Cowboys
486131,Shaft
9741,Unbreakable
134,"O Brother, Where Art Thou?"
10564,Where the Heart Is
11978,Men of Honor
77,Memento
2787,Pitch Black
2069,The Whole Nine Yards
5994,The Family Man
6282,Coyote Ugly
15655,The Tigger Movie
3536,U-571
10559,Frequency
9679,Gone in Sixty Seconds
11531,Book of Shadows: Blair Witch 2
10567,Dinosaur
14181,Boiler Room
10472,Down to You
711,Finding Forrester
2621,Return to Me
13785,Best in Show
14295,You Can Count on Me
1359,American Psycho
4967,Keeping the Faith
12212,Urban Legends: Final Cut
616037,Thor: Love and Thunder
4244,The Kid
2024,The Patriot
12509,Pollock
2046,The Gift
8584,Shanghai Noon
10862,Bounce
10479,Rules of Engagement
10873,Shadow of the Vampire
11478,The Skulls
641,Requiem for a Dream
10685,The Watcher
6521,The Contender
1619,The Way of the Gun
243,High Fidelity
9791,Animal Factory
10642,Loser
10393,The Replacements
11678,Vertical Limit
10468,28 Days
10876,Quills
10647,Pay It Forward
24664,Bamboozled
10569,Small Time Crooks
318,The Million Dollar Hotel
16,Dancer in the Dark
14195,Cecil B. Demented
327,Brother
10480,Nurse Betty
10687,Tigerland
10763,Dr. T & the Women
1831,The Next Best Thing
1636,Bedazzled
1907,The Beach
28333,The Ladies Man
11688,The Emperor's New Groove
20697,Ready to Rumble
10560,Center Stage
12211,Highlander: Endgame
10571,Boys and Girls
10481,102 Dalmatians
2155,Reindeer Games
18041,Gossip
10577,Dracula 2000
25166,Drowning Mona
9383,Hollow Man
19457,The Yards
10385,Hanging Up
10562,Under Suspicion
10641,Autumn in New York
786,Almost Famous
493529,Dungeons & Dragons: Honor Among Thieves
11398,The Art of War
11983,Proof of Life
10383,Lost Souls
11004,Wonder Boys
10391,Bless the Child
118957,Bait
2067,Mission to Mars
21355,All the Pretty Horses
10501,The Road to El Dorado
11973,Thirteen Days
9678,Little Nicky
8452,The 6th Day
889,The Flintstones in Viva Rock Vegas
10461,Get Carter
4958,The Legend of Bagger Vance
17711,The Adventures of Rocky & Bullwinkle
5491,Battlefield Earth
7450,Titan A.E.
8870,Red Planet
642208,Supernova
120,The Lord of the Rings: The Fellowship of the Ring
808,Shrek
671,Harry Potter and the Philosopher's Stone
585,"Monsters, Inc."
