Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote,Year,Row Labels,
Cast Away,143632142,233632142,90000000,7.8,2000,Cast Away,Cast+Away
Scary Movie,138019771,157019771,19000000,6.2,2000,Scary Movie,
How the Grinch Stole Christmas,137044825,260044825,123000000,6.2,2000,How the Grinch Stole Christmas,
What Women Want,112811707,182811707,70000000,6.4,2000,What Women Want,
Meet the Parents,111244045,166244045,55000000,7,2000,Meet the Parents,
Mission: Impossible II,90409889,215409889,125000000,6.1,2000,Mission: Impossible II,
Big Momma's House,87559438,117559438,30000000,5.2,2000,Big Momma's House,
Remember the Titans,85654751,115654751,30000000,7.8,2000,Remember the Titans,
Gladiator,84705427,187705427,103000000,8.5,2000,Gladiator,
X-Men,82299718,157299718,75000000,7.4,2000,X-Men,
Traffic,76115725,124115725,48000000,7.6,2000,Traffic,
Erin Brockovich,73595205,125595205,52000000,7.3,2000,Erin Brockovich,
Chicken Run,61834564,106834564,45000000,7,2000,Chicken Run,
Miss Congeniality,61807667,106807667,45000000,6.2,2000,Miss Congeniality,
Bring It On,57379000,68379000,11000000,6,2000,Bring It On,
What Lies Beneath,55464351,155464351,100000000,6.6,2000,What Lies Beneath,
Road Trip,52540777,68540777,16000000,6.4,2000,Road Trip,
Scream 3,49143175,89143175,40000000,5.6,2000,Scream 3,
Snow Day,47020107,60020107,13000000,5.1,2000,Snow Day,
Chocolat,46509363,71509363,25000000,7.2,2000,Chocolat,
Rugrats in Paris: The Movie - Rugrats II,46507756,76507756,30000000,6.1,2000,Rugrats in Paris: The Movie - Rugrats II,
Next Friday,46328603,57328603,11000000,6.2,2000,Next Friday,
The Perfect Storm,42618434,182618434,140000000,6.4,2000,The Perfect Storm,
"Me, Myself & Irene",39570999,90570999,51000000,6.6,2000,"Me, Myself & Irene",
Nutty Professor II: The Klumps,39309890,123309890,84000000,4.4,2000,Nutty Professor II: The Klumps,
"Dude, Where's My Car?",33729800,46729800,13000000,5.5,2000,"Dude, Where's My Car?",
Charlie's Angels,32305545,125305545,93000000,5.5,2000,Charlie's Angels,
Romeo Must Die,30973336,55973336,25000000,6.1,2000,Romeo Must Die,
Final Destination,30331147,53331147,23000000,6.7,2000,Final Destination,
The Cell,28334059,61334059,33000000,6.3,2000,The Cell,
My Dog Skip,28134641,34134641,6000000,7,2000,My Dog Skip,
Space Cowboys,25464773,90464773,65000000,6.4,2000,Space Cowboys,
Shaft,24334258,70334258,46000000,5.9,2000,Shaft,
Unbreakable,20011339,95011339,75000000,7.3,2000,Unbreakable,
"O Brother, Where Art Thou?",19512588,45512588,26000000,7.7,2000,"O Brother, Where Art Thou?",
Where the Heart Is,18772838,33772838,15000000,6.8,2000,Where the Heart Is,
Men of Honor,16818921,48818921,32000000,7.2,2000,Men of Honor,
Memento,16544867,25544867,9000000,8.4,2000,Memento,
Pitch Black,16240659,39240659,23000000,7.1,2000,Pitch Black,
The Whole Nine Yards,15962492,57262492,41300000,6.7,2000,The Whole Nine Yards,
The Family Man,15793305,75793305,60000000,6.8,2000,The Family Man,
Coyote Ugly,15786269,60786269,45000000,5.7,2000,Coyote Ugly,
The Tigger Movie,15554533,45554533,30000000,6.3,2000,The Tigger Movie,
U-571,15122415,77122415,62000000,6.6,2000,U-571,
Frequency,14010278,45010278,31000000,7.3,2000,Frequency,
Gone in Sixty Seconds,11648571,101648571,90000000,6.5,2000,Gone in Sixty Seconds,
Book of Shadows: Blair Witch 2,11437094,26437094,15000000,3.9,2000,Book of Shadows: Blair Witch 2,
Dinosaur,10248063,137748063,127500000,6.5,2000,Dinosaur,
Boiler Room,9970581,16970581,7000000,7,2000,Boiler Room,
Down to You,9069008,20069008,11000000,5,2000,Down to You,
Finding Forrester,8804714,51804714,43000000,7.3,2000,Finding Forrester,
Return to Me,8722798,32722798,24000000,6.9,2000,Return to Me,
Best in Show,8715392,18715392,10000000,7.4,2000,Best in Show,
You Can Count on Me,8216804,9416804,1200000,7.5,2000,You Can Count on Me,
American Psycho,8070285,15070285,7000000,7.6,2000,American Psycho,
Keeping the Faith,8047880,37047880,29000000,6.3,2000,Keeping the Faith,
Urban Legends: Final Cut,7468807,21468807,14000000,4.3,2000,Urban Legends: Final Cut,
Love & Basketball,7459615,27459615,20000000,7.2,2000,Love & Basketball,
The Kid,4691949,69691949,65000000,6.1,2000,The Kid,
The Patriot,3330342,113330342,110000000,7.2,2000,The Patriot,
Pollock,2598593,8598593,6000000,7,2000,Pollock,
The Gift,2008642,12008642,10000000,6.6,2000,The Gift,
Shanghai Noon,1937502,56937502,55000000,6.6,2000,Shanghai Noon,
Bounce,1805288,36805288,35000000,5.7,2000,Bounce,
Rules of Engagement,1335230,61335230,60000000,6.4,2000,Rules of Engagement,
Shadow of the Vampire,293784,8293784,8000000,6.9,2000,Shadow of the Vampire,
The Skulls,46120,35046120,35000000,5.6,2000,The Skulls,
Requiem for a Dream,-864518,3635482,4500000,8.3,2000,Requiem for a Dream,
The Watcher,-1053385,28946615,30000000,5.3,2000,The Watcher,
The Contender,-2127277,17872723,20000000,6.9,2000,The Contender,
The Way of the Gun,-2444339,6055661,8500000,6.7,2000,The Way of the Gun,
High Fidelity,-2712863,27287137,30000000,7.5,2000,High Fidelity,
Animal Factory,-3556195,43805,3600000,6.6,2000,Animal Factory,
Loser,-4381374,15618626,20000000,5.3,2000,Loser,
The Replacements,-5262941,44737059,50000000,6.6,2000,The Replacements,
Vertical Limit,-5756141,69243859,75000000,5.9,2000,Vertical Limit,
28 Days,-5829512,37170488,43000000,6.1,2000,28 Days,
Quills,-6434668,7065332,13500000,7.3,2000,Quills,
Pay It Forward,-6480372,33519628,40000000,7.2,2000,Pay It Forward,
Bamboozled,-7725021,2274979,10000000,6.5,2000,Bamboozled,
Small Time Crooks,-7733641,17266359,25000000,6.7,2000,Small Time Crooks,
The Million Dollar Hotel,-7940011,59989,8000000,5.9,2000,The Million Dollar Hotel,
Dancer in the Dark,-8615964,4184036,12800000,8,2000,Dancer in the Dark,
Cecil B. Demented,-8715354,1284646,10000000,6.3,2000,Cecil B. Demented,
Brother,-9549406,450594,10000000,7.2,2000,Brother,
Nurse Betty,-9829946,25170054,35000000,6.1,2000,Nurse Betty,
Tigerland,-9860308,139692,10000000,7,2000,Tigerland,
Dr. T & the Women,-9886959,13113041,23000000,4.6,2000,Dr. T & the Women,
The Next Best Thing,-10009418,14990582,25000000,4.7,2000,The Next Best Thing,
Bedazzled,-10113020,37886980,48000000,6,2000,Bedazzled,
The Beach,-10214973,39785027,50000000,6.7,2000,The Beach,
The Ladies Man,-10383390,13616610,24000000,5.2,2000,The Ladies Man,
The Emperor's New Groove,-10697313,89302687,100000000,7.3,2000,The Emperor's New Groove,
Ready to Rumble,-11605673,12394327,24000000,5.4,2000,Ready to Rumble,
Center Stage,-11799075,17200925,29000000,6.7,2000,Center Stage,
Highlander: Endgame,-12188142,12811858,25000000,4.6,2000,Highlander: Endgame,
Boys and Girls,-13200348,21799652,35000000,5.4,2000,Boys and Girls,
102 Dalmatians,-18042974,66957026,85000000,4.9,2000,102 Dalmatians,
Reindeer Games,-18631005,23368995,42000000,5.8,2000,Reindeer Games,
